-exportShapes; required:filepath; optional:xml_file
-importShapesToSelectedOrtho; required:filepath,choice; optional:
-importShapesToOrtho; required:filepath,orthoProjectionName,choice; optional:
-selectShape; required:filepath; optional:
-addShapeToSelection; required:filepath; optional:
-exportReport; required:filepath,filepath; optional:boolean
-printReport; required:reportString; optional:
-generateMaskFromMesh; required:; optional:
-exportMapsAndMask; required:; optional:dirpath,xml_file
-exportLod; required:filepath; optional:xml_file
-export3dTiles; required:filepath; optional:xml_file
-exportCameraSnapshots; required:dirpath; optional:xml_file
-exportSelectedCamerasSnapshots; required:dirpath,fileFormat; optional:xml_file
-renderMeshFromCustomPositionYPR; required:filepath,xml_file,width,height,focalLength,x,y,z,yaw,pitch,roll; optional:
-renderMeshFromCustomPositionLookAt; required:filepath,xml_file,width,height,focalLength,x,y,z,atX,atY,atZ; optional:upX,upY,upZ
-renderMeshFromCustomGridPositionYPR; required:filepath,xml_file,width,height,focalLength,x,y,z,yaw,pitch,roll; optional:
-renderMeshFromCustomGridPositionLookAt; required:filepath,xml_file,width,height,focalLength,x,y,z,atX,atY,atZ; optional:upX,upY,upZ
-uploadToSketchfab; required:APIToken; optional:
-dtmClassify; required:; optional:xml_file
-selectClassification; required:classificationName; optional:
-renameSelectedClassification; required:newClassificationName; optional:
-transferClassification; required:; optional:xml_file
-exportClassificationSettings; required:filepath; optional:
-importClassificationSettings; required:filepath; optional:
-overrideSelectedVertices; required:; optional:className
-selectClass; required:className; optional:
-deselectClass; required:; optional:
-renameSelectedClass; required:newClassName; optional:
-setSelectedClassAsGroundForDTM; required:boolean,boolean; optional:
-setSelectedClassAsGroundForExport; required:; optional:
-setSelectedClassLasFormat; required:0,12; optional:
-selectVerticesOfSelectedClass; required:; optional:
-selectClassificationFormat; required:classificationFormatName; optional:
-renameSelectedClassificationFormat; required:newClassificationFormatName; optional:
-exportSelectedClassificationFormat; required:filepath; optional:
-exportClassificationFormat; required:classificationFormatName,filepath; optional:
-importClassificationFormat; required:filepath; optional:
-colorModelBySelectedClassification; required:; optional:
-deleteSelectedClassification; required:; optional:
-set; required:key_value; optional:
-preset; required:key_value; optional:
-reset; required:ui,boolean,cfg,cfgui,all; optional:
-silent; required:dirpath; optional:
-writeProgress; required:filepath; optional:timeout
-printProgress; required:; optional:timeout
-tag; required:string; optional:
-stdConsole; required:; optional:
-disableOnlineCommunication; required:; optional:
-importGlobalSettings; required:settings.rcconfig; optional:
-exportGlobalSettings; required:settings.rcconfig; optional:
-setProjectCoordinateSystem; required:authority:id; optional:
-setOutputCoordinateSystem; required:authority:id; optional:
